code,report_month,region,commodity,item,year,period,value,min_value,max_value
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Domestic Total 2/,2020/21 Proj.,Sep,113.8,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Exports,2020/21 Proj.,Sep,111.7,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Ending Stocks,2020/21 Proj.,Sep,14.98,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Beginning Stocks,2020/21 Proj.,Oct,11.62,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Production,2020/21 Proj.,Oct,225.5,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Imports,2020/21 Proj.,Oct,1.56,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Domestic Feed,2020/21 Proj.,Oct,92.4,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Domestic Total 2/,2020/21 Proj.,Oct,114.4,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Exports,2020/21 Proj.,Oct,109.7,,
CORN_WORLD_23,2020-10,Major Exporters 4/,Corn,Ending Stocks,2020/21 Proj.,Oct,14.58,,
CORN_WORLD_23,2020-10,Argentina,Corn,Beginning Stocks,2020/21 Proj.,Sep,1.87,,
CORN_WORLD_23,2020-10,Argentina,Corn,Production,2020/21 Proj.,Sep,50.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Imports,2020/21 Proj.,Sep,0.01,,
CORN_WORLD_23,2020-10,Argentina,Corn,Domestic Feed,2020/21 Proj.,Sep,11.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Domestic Total 2/,2020/21 Proj.,Sep,15.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Exports,2020/21 Proj.,Sep,34.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Ending Stocks,2020/21 Proj.,Sep,2.88,,
CORN_WORLD_23,2020-10,Argentina,Corn,Beginning Stocks,2020/21 Proj.,Oct,1.87,,
CORN_WORLD_23,2020-10,Argentina,Corn,Production,2020/21 Proj.,Oct,50.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Imports,2020/21 Proj.,Oct,0.01,,
CORN_WORLD_23,2020-10,Argentina,Corn,Domestic Feed,2020/21 Proj.,Oct,11.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Domestic Total 2/,2020/21 Proj.,Oct,15.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Exports,2020/21 Proj.,Oct,34.0,,
CORN_WORLD_23,2020-10,Argentina,Corn,Ending Stocks,2020/21 Proj.,Oct,2.88,,
CORN_WORLD_23,2020-10,Brazil,Corn,Beginning Stocks,2020/21 Proj.,Sep,5.49,,
CORN_WORLD_23,2020-10,Brazil,Corn,Production,2020/21 Proj.,Sep,110.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Imports,2020/21 Proj.,Sep,1.5,,
CORN_WORLD_23,2020-10,Brazil,Corn,Domestic Feed,2020/21 Proj.,Sep,60.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Domestic Total 2/,2020/21 Proj.,Sep,70.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Exports,2020/21 Proj.,Sep,39.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Ending Stocks,2020/21 Proj.,Sep,7.99,,
CORN_WORLD_23,2020-10,Brazil,Corn,Beginning Stocks,2020/21 Proj.,Oct,5.49,,
CORN_WORLD_23,2020-10,Brazil,Corn,Production,2020/21 Proj.,Oct,110.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Imports,2020/21 Proj.,Oct,1.5,,
CORN_WORLD_23,2020-10,Brazil,Corn,Domestic Feed,2020/21 Proj.,Oct,60.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Domestic Total 2/,2020/21 Proj.,Oct,70.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Exports,2020/21 Proj.,Oct,39.0,,
CORN_WORLD_23,2020-10,Brazil,Corn,Ending Stocks,2020/21 Proj.,Oct,7.99,,
CORN_WORLD_23,2020-10,Russia,Corn,Beginning Stocks,2020/21 Proj.,Sep,0.8,,
CORN_WORLD_23,2020-10,Russia,Corn,Production,2020/21 Proj.,Sep,15.0,,
CORN_WORLD_23,2020-10,Russia,Corn,Imports,2020/21 Proj.,Sep,0.04,,
CORN_WORLD_23,2020-10,Russia,Corn,Domestic Feed,2020/21 Proj.,Sep,9.9,,
CORN_WORLD_23,2020-10,Russia,Corn,Domestic Total 2/,2020/21 Proj.,Sep,11.0,,
CORN_WORLD_23,2020-10,Russia,Corn,Exports,2020/21 Proj.,Sep,3.9,,
CORN_WORLD_23,2020-10,Russia,Corn,Ending Stocks,2020/21 Proj.,Sep,0.94,,
