code,report_month,region,commodity,item,year,period,value,min_value,max_value
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Production,2020/21 Proj.,Oct,1070.64,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Imports,2020/21 Proj.,Oct,211.84,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Domestic Feed,2020/21 Proj.,Oct,748.43,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Oct,1140.0,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Exports,2020/21 Proj.,Oct,157.04,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Ending Stocks,2020/21 Proj.,Oct,272.47,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Beginning Stocks,2020/21 Proj.,Sep,21.96,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Production,2020/21 Proj.,Sep,318.34,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Imports,2020/21 Proj.,Sep,4.15,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Domestic Feed,2020/21 Proj.,Sep,136.84,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Sep,182.26,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Exports,2020/21 Proj.,Sep,135.86,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Ending Stocks,2020/21 Proj.,Sep,26.33,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Beginning Stocks,2020/21 Proj.,Oct,22.08,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Production,2020/21 Proj.,Oct,316.2,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Imports,2020/21 Proj.,Oct,4.15,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Domestic Feed,2020/21 Proj.,Oct,137.73,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Oct,183.07,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Exports,2020/21 Proj.,Oct,133.46,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Ending Stocks,2020/21 Proj.,Oct,25.89,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Beginning Stocks,2020/21 Proj.,Sep,2.92,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Production,2020/21 Proj.,Sep,56.37,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Imports,2020/21 Proj.,Sep,0.01,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Domestic Feed,2020/21 Proj.,Sep,13.11,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Sep,18.75,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Exports,2020/21 Proj.,Sep,37.01,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Ending Stocks,2020/21 Proj.,Sep,3.54,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Beginning Stocks,2020/21 Proj.,Oct,2.96,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Production,2020/21 Proj.,Oct,56.66,,
COURSE_GRAIN_WORLD_21,2020-10,Argentina,Coarse Grains,Imports,2020/21 Proj.,Oct,0.01,,
